time,open,high,low,close,Volume,Volume
1613635200,2113.03,2126,2089.4,2114.04,853235,787495
1613642400,2114.08,2151.99,2091.53,2103.81,1258552,808202.05
1613649600,2104.22,2129.57,2076.92,2121.61,1371424,862893.25
1613656800,2121.62,2130.57,2094.34,2106.6,1071718,904405
1613664000,2107.15,2122.99,2106.55,2116.07,669863,902678.3
1613671200,2116.12,2141.34,2110.07,2122.01,801566,909939.95
1613678400,2121.47,2149,2112.94,2142.84,295590,906878.85
1613685600,2143.21,2146.37,2105.05,2132.14,410905,865181.15
1613692800,2132.37,2148.91,2100,2109.73,535780,842179.4
1613700000,2110.09,2117.27,2080.15,2101.15,639268,832225.1
1613707200,2102,2116.54,2080.94,2103.64,1270144,800942.1
1613714400,2105.04,2124.51,2101.49,2115.67,359856,771452.7
1613721600,2115.4,2158.23,2107.18,2143.59,923945,791760.1
1613728800,2143.47,2150.54,2133,2143.22,261389,786103.7
1613736000,2142.95,2149.24,2102.65,2115.76,3446116,917098.3
1613743200,2115.76,2146.12,2115.76,2135.75,1734981,989725.4
1613750400,2136.84,2183,2135.87,2178.7,1763528,1012216.85
1613757600,2179.63,2187.17,2158.27,2166.89,635521,996488.1
1613764800,2167.08,2197.49,2159.57,2174.09,1559449,1046445
1613772000,2175,2179.66,2160.94,2167.81,669145,1026598.75
1613779200,2167.81,2174.8,2121.21,2151.52,2248470,1096360.5
1613786400,2151.51,2246.7,2142.9,2242.24,2865845,1176725.15
1613793600,2241.17,2271.8,2203.88,2228.49,1814762,1198892.05
1613800800,2229.86,2247.29,2182.61,2189.45,1491178,1219865.05
1613808000,2190.22,2224.3,2190.17,2211.92,1231956,1247969.7
1613815200,2211,2229.6,2201.42,2216.27,432869,1229534.85
1613822400,2215.7,2257,2213.31,2252,759530,1252731.85
1613829600,2252.01,2257.19,2156.69,2177.85,2198621,1342117.65
1613836800,2178.25,2228.88,2177.39,2196.75,1145083,1372582.8
1613844000,2197.08,2205.55,2178.93,2190.69,425244,1361881.6
1613851200,2191.15,2191.58,2137.83,2156.72,1219297,1359339.25
1613858400,2156.71,2157.18,1950,2092.4,6074891,1645091
1613865600,2091.58,2122.98,2057.5,2122.98,1431814,1670484.45
1613872800,2123.01,2145.97,2110.1,2116.96,1340682,1724449.1
1613880000,2117.11,2143.55,2100.38,2132.22,837411,1594013.85
1613887200,2131.94,2135.51,2086.26,2092.9,752822,1544905.9
1613894400,2092.93,2130.16,2076,2129.19,538580,1483658.5
1613901600,2128.04,2176.45,2126.66,2161.59,708730,1487318.95
1613908800,2161.83,2171.18,2134.31,2147.4,947908,1456741.9
1613916000,2148.57,2176.82,2133.33,2164.02,547771,1450673.2
1613923200,2165.07,2171.38,2139.1,2150.45,392968,1357898.1
1613930400,2152.29,2185.49,2135.92,2169.64,355089,1232360.3
1613937600,2170.34,2170.34,2104,2107.78,1994459,1241345.15
